city,rank,name,stars,review_count,checkin_count,combined_score
AVON,1,Jack's Donuts - Avon,3.5,24,37,0.2811642462538282
Abington,1,2 Fat Dogs,5.0,85,26,0.4035190360796286
Abington,2,Arte Salon,5.0,52,20,0.40217637675339785
Abington,3,Tom & Sons Auto Repair,5.0,49,4,0.40196540220057386
Abington,4,The Junkluggers of Philadelphia & Montgomery County,5.0,40,0,0.401585623678647
Abington,5,Emoji Sushi & Teriyaki,5.0,13,3,0.4005325875912338
Abington Township,1,Iron Hill Brewery & Restaurant,4.0,223,347,0.33083624660802713
Abington Township,2,TerraVida Holistic Centers,4.0,21,7,0.3208727255211946
Affton,1,Sushi Hana,4.5,141,75,0.3660208208590685
Affton,2,Federhofer's Bakery,4.5,71,159,0.3637292565002949
Affton,3,SharpShooter Pit and Grill,4.5,59,105,0.36294289127457746
Affton,4,Sedara Sweets & Ice Cream,4.5,60,37,0.3625913075646105
Affton,5,Ambrosia Restaurant & Bar,4.5,44,112,0.3623885554849897
Afton,1,9 Mile Garden,4.0,50,96,0.3225343462598614
Aldan,1,Bernie's Pretzel Bakery,4.5,33,66,0.3616878572397012
Aldan,2,Pines Cafe,4.5,16,33,0.3608241083238676
Aldan,3,Penn Pines Diner,3.5,48,38,0.2821213737595742
Aldan,4,JT Brewski's Pub,3.5,23,37,0.28112460566186204
Aldan,5,Value Thrift Shop,3.5,18,24,0.2808516098207793
Algiers,1,Domino's Pizza,1.5,28,14,0.1211904827548626
Alloway,1,Alloway Village Inn,3.5,13,28,0.28067642005517973
Almonesson,1,Auletto Caterers,4.0,16,38,0.32085287481665675
Alton,1,Beall Mansion An Elegant Bed & Breakfast,5.0,40,13,0.40166041655989887
Alton,2,Shake Rattle & Roll Drive In,5.0,13,3,0.4005325875912338
Alton,3,Maeva's,4.5,75,88,0.36347933467055293
Alton,4,The Brown Bag Bistro,4.5,70,46,0.3630394931712928
Alton,5,Mini Corral Hamburgers,4.5,60,75,0.36280993290980845
Ambler,1,Ambler Theater,5.0,74,277,0.40452706750601847
Ambler,2,Advanced Chiropractic & Wellness Center,5.0,24,18,0.4010549335812293
Ambler,3,Total Performance Automotive,5.0,22,5,0.40090085951604504
Ambler,4,Ambler Beverage Exchange,5.0,20,18,0.4008963712133646
Ambler,5,Ambler Dental Care,5.0,16,18,0.4007378088454999
