Business Name,City,State,Checkins Before Spike,Checkins After Spike,% Change in Checkins,Impact Category
Kid Rock's Big Honky Tonk and Rock n' Roll Steakhouse,Nashville,TN,19,0,100.0,Drop in Checkins
Smashburger,Clearwater,FL,12,2,83.33,Drop in Checkins
Grille One Sixteen,Tampa,FL,17,3,82.35,Drop in Checkins
Chima Steakhouse,Philadelphia,PA,27,5,81.48,Drop in Checkins
Opa,Philadelphia,PA,10,2,80.0,Drop in Checkins
Darling's Diner,Philadelphia,PA,19,4,78.95,Drop in Checkins
Krispy Kreme,Tucson,AZ,18,4,77.78,Drop in Checkins
Keg & Kitchen,Westmont,NJ,17,4,76.47,Drop in Checkins
Bearss Tavern + Tap,Tampa,FL,25,6,76.0,Drop in Checkins
Tradesman's,Philadelphia,PA,15,4,73.33,Drop in Checkins
Lucky Pierre's,New Orleans,LA,11,3,72.73,Drop in Checkins
Caesars Superdome,New Orleans,LA,30,9,70.0,Drop in Checkins
Café Adelaide,New Orleans,LA,19,6,68.42,Drop in Checkins
Round1 Tucson,Tucson,AZ,12,4,66.67,Drop in Checkins
Viva Modern Mexican,Santa Barbara,CA,12,4,66.67,Drop in Checkins
Sheraton Suites Philadelphia Airport,Philadelphia,PA,12,4,66.67,Drop in Checkins
Joellas's Hot Chicken - Largo,Largo,FL,21,7,66.67,Drop in Checkins
Melba's,New Orleans,LA,18,6,66.67,Drop in Checkins
Mortar & Pestle,Tampa,FL,12,4,66.67,Drop in Checkins
Porano Pasta,Saint Louis,MO,12,4,66.67,Drop in Checkins
Walmart Supercenter,Reno,NV,11,4,63.64,Drop in Checkins
The Pearl Oyster Bar & Grill,Reno,NV,16,6,62.5,Drop in Checkins
The Spotted Cat Music Club,New Orleans,LA,21,8,61.9,Drop in Checkins
St. Louis Aquarium at Union Station,St. Louis,MO,37,15,59.46,Drop in Checkins
Gilley's at the Nugget,Sparks,NV,17,7,58.82,Drop in Checkins
Bacon Bitch,St. Petersburg,FL,31,13,58.06,Drop in Checkins
The Inferno Room,Indianapolis,IN,14,6,57.14,Drop in Checkins
The Westin La Paloma Resort & Spa,Tucson,AZ,14,6,57.14,Drop in Checkins
Coterie Restaurant & Oyster Bar,New Orleans,LA,32,14,56.25,Drop in Checkins
Steak ’n Shake,Reno,NV,27,12,55.56,Drop in Checkins
Evangeline,New Orleans,LA,18,8,55.56,Drop in Checkins
Sabrina's Café,Philadelphia,PA,20,9,55.0,Drop in Checkins
Joy Tsin Lau Chinese Restaurant,Philadelphia,PA,20,9,55.0,Drop in Checkins
Front Street Cafe,Philadelphia,PA,11,5,54.55,Drop in Checkins
Crown & Bull,Dunedin,FL,22,10,54.55,Drop in Checkins
Harrah's Reno,Reno,NV,39,18,53.85,Drop in Checkins
Chihuahua's Cantina & Grill,Reno,NV,54,25,53.7,Drop in Checkins
Morning Call Coffee Stand,New Orleans,LA,41,19,53.66,Drop in Checkins
