year,total_users,silent_users,active_users,silent_ratio,active_ratio
2004,90,0,90,0.0,100.0
2005,937,0,937,0.0,100.0
2006,5423,0,5423,0.0,100.0
2007,15340,0,15340,0.0,100.0
2008,31097,0,31097,0.0,100.0
2009,64911,0,64911,0.0,100.0
2010,109054,1,109053,0.0,100.0
2011,176435,1,176434,0.0,100.0
2012,195955,3,195952,0.0,100.0
2013,209762,1,209761,0.0,100.0
2014,233465,1,233464,0.0,100.0
2015,247850,2,247848,0.0,100.0
2016,217620,3,217617,0.0,100.0
2017,151024,5,151019,0.0,100.0
2018,133568,4,133564,0.0,100.0
2019,104655,6,104649,0.01,99.99
2020,47444,7,47437,0.01,99.99
2021,40485,13,40472,0.03,99.97
2022,2782,7,2775,0.25,99.75
