year,new_users,total_reviews,elite_users,avg_reviews_per_user,avg_stars
2004,90,14577,27,161.96666666666667,3.643777770466275
2005,937,226005,401,241.20064034151548,3.816979729124169
2006,5423,920176,1743,169.68025078369905,3.7748921326599105
2007,15340,2011487,3788,131.12692307692308,3.772237944618509
2008,31097,3162898,5679,101.71071164421005,3.7616551490820123
2009,64911,4401364,7691,67.80613455346551,3.760200894728687
2010,109054,5444361,9928,49.92353329543162,3.7695074955010934
2011,176435,6344607,11504,35.96002493836257,3.757758837910776
2012,195955,5405586,10168,27.58585389502692,3.7190145722041708
2013,209762,4820434,9588,22.980492176848045,3.702324160495244
2014,233465,4354298,9202,18.650752789497353,3.6951002525093033
2015,247850,3630507,8036,14.648000806939681,3.6560729085309673
2016,217620,2500839,5708,11.49177005789909,3.6256365235884305
2017,151024,1457654,3622,9.651803686831233,3.5631851900034643
2018,133568,938027,2251,7.022842297556301,3.470080783509457
2019,104655,559500,1341,5.346137308298696,3.3740082179211175
2020,47444,197284,339,4.158249725992749,3.2345430404513174
2021,40485,112349,182,2.775077189082376,2.9753691492838024
2022,2782,3723,0,1.3382458662832495,2.8101150252508824
