name,count,avg_rating
Starbucks,724,3.126381215469613
McDonald's,703,1.8634423897581793
Dunkin',510,2.302941176470588
Subway,459,2.5860566448801743
Taco Bell,365,2.154794520547945
CVS Pharmacy,345,2.4565217391304346
Walgreens,341,2.624633431085044
Burger King,338,2.0281065088757395
Wendy's,331,2.015105740181269
Wawa,307,3.3192182410423454
Domino's Pizza,295,2.2813559322033896
The UPS Store,281,3.215302491103203
Pizza Hut,272,2.0330882352941178
Enterprise Rent-A-Car,232,3.2780172413793105
Papa John's Pizza,196,2.4081632653061225
Great Clips,185,2.9
Jimmy John's,175,2.8685714285714288
US Post Office,174,2.4195402298850577
KFC,171,1.8596491228070176
Chick-fil-A,162,3.3858024691358026
