Cuisine Type,Stars,Review Count
African,1.0,247
African,2.0,184
African,3.0,328
African,4.0,914
African,5.0,2199
American,1.0,199593
American,2.0,157956
American,3.0,215166
American,4.0,428691
American,5.0,729469
Chinese,1.0,26343
Chinese,2.0,15994
Chinese,3.0,21902
Chinese,4.0,46138
Chinese,5.0,69947
French,1.0,3060
French,2.0,2937
French,3.0,4353
French,4.0,9737
French,5.0,19655
Greek,1.0,1643
Greek,2.0,1218
Greek,3.0,1542
Greek,4.0,4078
Greek,5.0,8326
Hawaiian,1.0,820
Hawaiian,2.0,731
Hawaiian,3.0,1028
Hawaiian,4.0,2188
Hawaiian,5.0,6517
Indian,1.0,7044
Indian,2.0,4679
Indian,3.0,6726
Indian,4.0,16664
Indian,5.0,35763
Italian,1.0,45181
Italian,2.0,32358
Italian,3.0,37844
Italian,4.0,79961
Italian,5.0,160262
Japanese,1.0,22237
Japanese,2.0,17350
Japanese,3.0,23934
Japanese,4.0,49532
Japanese,5.0,90482
Korean,1.0,1901
Korean,2.0,1652
Korean,3.0,2927
Korean,4.0,7010
Korean,5.0,13494
Mediterranean,1.0,6906
Mediterranean,2.0,5375
Mediterranean,3.0,7947
Mediterranean,4.0,19509
Mediterranean,5.0,45477
Mexican,1.0,48624
Mexican,2.0,31808
Mexican,3.0,39478
Mexican,4.0,80622
Mexican,5.0,148737
Middle Eastern,1.0,863
Middle Eastern,2.0,766
Middle Eastern,3.0,1375
Middle Eastern,4.0,3677
Middle Eastern,5.0,8683
Spanish,1.0,1116
Spanish,2.0,1055
Spanish,3.0,1666
Spanish,4.0,4123
Spanish,5.0,7323
Thai,1.0,6432
Thai,2.0,5822
Thai,3.0,8523
Thai,4.0,20774
Thai,5.0,40491
Vietnamese,1.0,4599
Vietnamese,2.0,4037
Vietnamese,3.0,6723
Vietnamese,4.0,16127
Vietnamese,5.0,27417
