Business Name,Review Count,Average Rating,Std Deviation
Apple Repair Shop,112,2.8,1.94
Zak Dental - Santa Barbara,123,2.94,1.93
Napleton Hyundai of Carmel,112,2.76,1.92
Nissan of Clearwater,176,2.96,1.91
Champion Chevrolet,145,2.88,1.91
Reno Buick GMC Cadillac,188,3.11,1.91
Chapman Ford of Horsham,108,3.05,1.91
CarZone,147,2.54,1.9
Vanderbilt University Medical Center,102,3.13,1.9
Lithia Hyundai of Reno,164,2.77,1.9
Tom Dolan's Reno Kia,104,2.88,1.89
The Green Truck Moving & Storage Company,126,3.24,1.89
Ferman Chrysler Jeep Dodge RAM - Wesley Chapel,103,2.66,1.89
Mercedes-Benz Of Tampa,209,3.12,1.88
Mercedes-Benz of Reno,152,2.97,1.88
Reindeer Auto Relocation,166,3.4,1.88
Piazza Honda Of Springfield,100,3.01,1.88
Premiere Center for Cosmetic Surgery,101,3.41,1.88
United Nissan Reno,213,3.16,1.88
Sun Toyota,178,2.74,1.88
