rev_user_id,avg_stars_year_1,avg_stars_year_3,star_change,user_id,user_name
SXiN6Rkcv8RAn0sB308_xg,5.0,1.0,-4.0,SXiN6Rkcv8RAn0sB308_xg,Joe
RNSMuwdio8aoAalSjGLE8w,5.0,1.0,-4.0,RNSMuwdio8aoAalSjGLE8w,Megan
x4KtqwnXwr3DQe5f4CH9tA,5.0,1.0,-4.0,x4KtqwnXwr3DQe5f4CH9tA,Andrea
v_S39Ceob4IFRXkCCbNtOQ,5.0,1.0,-4.0,v_S39Ceob4IFRXkCCbNtOQ,Robert
UWkxtns0-z3oFWk7xbakzA,5.0,1.0,-4.0,UWkxtns0-z3oFWk7xbakzA,Barry
RP0Cway_5DnZWpGYJmbBcw,5.0,1.0,-4.0,RP0Cway_5DnZWpGYJmbBcw,Michelle
USo-V3V0Id-F-_KBomtTIw,5.0,1.0,-4.0,USo-V3V0Id-F-_KBomtTIw,Elizabeth
CQRZPS7hnk7hBXp-UmgsqQ,5.0,1.0,-4.0,CQRZPS7hnk7hBXp-UmgsqQ,Ana
wyLEvT5_icNAnf-WxjcObg,5.0,1.0,-4.0,wyLEvT5_icNAnf-WxjcObg,Evan
RTNzZHsuyVH0dWIiT4Xu5Q,5.0,1.0,-4.0,RTNzZHsuyVH0dWIiT4Xu5Q,Cindy
UUHDT_NRWK33Jg2i-ftbXQ,5.0,1.0,-4.0,UUHDT_NRWK33Jg2i-ftbXQ,Kaili
SmEMM6z8riqOBjtkMurt-A,5.0,1.0,-4.0,SmEMM6z8riqOBjtkMurt-A,Vicki
-H2Ja5gFeGsPrEq9o_ufiA,5.0,1.0,-4.0,-H2Ja5gFeGsPrEq9o_ufiA,Jena
vWIJB9ScDw2kF4NlmXbCUQ,5.0,1.0,-4.0,vWIJB9ScDw2kF4NlmXbCUQ,Cassidy
UUgfAyU-elYeRQsV52v04g,5.0,1.0,-4.0,UUgfAyU-elYeRQsV52v04g,Brenda
Sp5ChKiXxW-Waqbs23ByBg,5.0,1.0,-4.0,Sp5ChKiXxW-Waqbs23ByBg,Natalie
-af1gLyiYIV7vPPzAwcFVA,5.0,1.0,-4.0,-af1gLyiYIV7vPPzAwcFVA,Michael
-8Vf9roRMLb-_vxmM347Pg,5.0,1.0,-4.0,-8Vf9roRMLb-_vxmM347Pg,Bryana
wyfx1aWF3J20pytS_Pik1Q,5.0,1.0,-4.0,wyfx1aWF3J20pytS_Pik1Q,B
SreXALLL-xgHo92UKkXckA,5.0,1.0,-4.0,SreXALLL-xgHo92UKkXckA,Brit
-aw2pafow4NVZBuIjFw7UA,5.0,1.0,-4.0,-aw2pafow4NVZBuIjFw7UA,Dani
-Beh_JogeOnPlQ2ccNwZRQ,5.0,1.0,-4.0,-Beh_JogeOnPlQ2ccNwZRQ,Jennifer
-BF0VwhzVTVjViqf6d7S5w,5.0,1.0,-4.0,-BF0VwhzVTVjViqf6d7S5w,Carlos
St8sDXqaAK5k_WWOLGJR5Q,5.0,1.0,-4.0,St8sDXqaAK5k_WWOLGJR5Q,Rebecca
-fAAKIC1LhZCnVcGeaBLJA,5.0,1.0,-4.0,-fAAKIC1LhZCnVcGeaBLJA,Cindy
-BkltWiOoqCuoGY5Ab86lA,5.0,1.0,-4.0,-BkltWiOoqCuoGY5Ab86lA,Jodi
UX9e46-F03qAMXNRR5cr4w,5.0,1.0,-4.0,UX9e46-F03qAMXNRR5cr4w,Angie
StptJ4Fax_vxIiMBfMCqUw,5.0,1.0,-4.0,StptJ4Fax_vxIiMBfMCqUw,Phil
-ithE_3ZUctrLy3ifdX8Hw,5.0,1.0,-4.0,-ithE_3ZUctrLy3ifdX8Hw,Caroline
-InhCWSVR11h0fZj0z74kA,5.0,1.0,-4.0,-InhCWSVR11h0fZj0z74kA,Michael
UXTU-QFiXCy7U_fuEh2MZg,5.0,1.0,-4.0,UXTU-QFiXCy7U_fuEh2MZg,Yvonne
Su5vV4xipEdpmJjnPDRrGA,5.0,1.0,-4.0,Su5vV4xipEdpmJjnPDRrGA,Anna
-ltiUCGAh-_4o4ww1qWHdw,5.0,1.0,-4.0,-ltiUCGAh-_4o4ww1qWHdw,Kyle
-P0mXU8Yu0oPx2D6FblHbQ,5.0,1.0,-4.0,-P0mXU8Yu0oPx2D6FblHbQ,Layla
wxAIPRMagILei4UapcEqiQ,5.0,1.0,-4.0,wxAIPRMagILei4UapcEqiQ,Sarah
Sxs8vjX4BoDFYNaWyrIKRg,5.0,1.0,-4.0,Sxs8vjX4BoDFYNaWyrIKRg,Veronica
-qTkGSv34i6vnrXsLEghSA,5.0,1.0,-4.0,-qTkGSv34i6vnrXsLEghSA,Katie
-WtlHopfpP80irYEhTd3BQ,5.0,1.0,-4.0,-WtlHopfpP80irYEhTd3BQ,Mark
-u-7bBY8bttuAvngtIIy7g,5.0,1.0,-4.0,-u-7bBY8bttuAvngtIIy7g,Marsha
Szr-jB7z3tWFZ81WVZCl4w,5.0,1.0,-4.0,Szr-jB7z3tWFZ81WVZCl4w,Annie
